Quarter,Region,State,Business,Holiday,Other,Visiting,Tendencia,Serie sin Tendencia,Mes,Estacionalidad,Componente Residual,,
01/01/1998,Lakes,Victoria,9.7822179,161.1803638,0,40.8733098,,161.1803638,1,,,,Trim 1
01/04/1998,Lakes,Victoria,42.5966141,183.8701881,0,19.4783717,,183.8701881,4,,,,Trim 2
01/07/1998,Lakes,Victoria,28.5876848,100.4861208,14.2150008,54.7092415,,100.4861208,7,,,,Trim 3
01/10/1998,Lakes,Victoria,26.9473938,79.8797421,1.9373184,33.3556601,,79.8797421,10,,,,Trim 4
01/01/1999,Lakes,Victoria,2.9184524,118.2478227,3.9458862,27.3383972,,118.2478227,1,,,,
01/04/1999,Lakes,Victoria,20.2426382,90.607858,5.4406007,18.4732723,,90.607858,4,,,,
01/07/1999,Lakes,Victoria,4.3241904,63.8069047,0,29.9819507,,63.8069047,7,,,,
01/10/1999,Lakes,Victoria,1.9056419,103.67991,0,54.5434907,112.7198638,103.67991,10,,,,
01/01/2000,Lakes,Victoria,6.8633683,169.7725677,13.7194626,47.1180224,113.7938893,169.7725677,1,,-113.7938893,,
01/04/2000,Lakes,Victoria,2.0286119,97.2880117,10.0657989,51.7576723,102.9711172,97.2880117,4,,-102.9711172,,
01/07/2000,Lakes,Victoria,12.5882274,60.0442553,3.70729,42.7315286,97.91588403,60.0442553,7,,-97.91588403,,
01/10/2000,Lakes,Victoria,9.2582932,108.2160931,4.437509,44.525215,101.4579279,108.2160931,10,,-101.4579279,,
01/01/2001,Lakes,Victoria,7.1741361,175.5322185,4.3328776,61.5757777,108.6184774,175.5322185,1,,-108.6184774,,
01/04/2001,Lakes,Victoria,15.6960386,119.6513084,0,33.8876755,112.2489087,119.6513084,4,,-112.2489087,,
01/07/2001,Lakes,Victoria,40.6808245,52.5277855,0,34.1320478,110.8390188,52.5277855,7,,-110.8390188,,
01/10/2001,Lakes,Victoria,12.0845217,101.0579101,3.4323727,24.9845658,110.5112688,101.0579101,10,,-110.5112688,,
01/01/2002,Lakes,Victoria,8.332412,179.096411,6.1113623,43.7724668,111.6767492,179.096411,1,,-111.6767492,,
01/04/2002,Lakes,Victoria,16.7061377,106.8312479,0,30.462279,112.8696537,106.8312479,4,,-112.8696537,,
01/07/2002,Lakes,Victoria,1.8933202,67.3406971,3.7440958,27.0425189,113.781709,67.3406971,7,,-113.781709,,
01/10/2002,Lakes,Victoria,9.9980652,104.9337226,0,54.8019105,113.3714126,104.9337226,10,,-113.3714126,,
01/01/2003,Lakes,Victoria,11.29656,155.4853263,6.0642299,50.0272495,110.8655511,155.4853263,1,,-110.8655511,,
01/04/2003,Lakes,Victoria,7.702987,117.9849031,0,64.7301849,110.6572505,117.9849031,4,,-110.6572505,,
01/07/2003,Lakes,Victoria,4.2786025,81.7724748,0,26.7027456,114.3128366,81.7724748,7,,-114.3128366,,
01/10/2003,Lakes,Victoria,20.8847708,62.7199382,4.1289682,46.4088289,109.5205901,62.7199382,10,,-109.5205901,,
01/01/2004,Lakes,Victoria,13.6310729,201.3489687,7.9487711,71.0654321,112.3021598,201.3489687,1,,-112.3021598,,
01/04/2004,Lakes,Victoria,20.945672,129.8482663,3.6207115,22.4066415,115.1792871,129.8482663,4,,-115.1792871,,
01/07/2004,Lakes,Victoria,37.7221859,54.6229627,1.3140945,16.2298312,113.5895703,54.6229627,7,,-113.5895703,,
01/10/2004,Lakes,Victoria,9.7190778,89.8380663,0,39.2345852,111.7026133,89.8380663,10,,-111.7026133,,
01/01/2005,Lakes,Victoria,0,140.718956,0,42.6779793,109.856817,140.718956,1,,-109.856817,,
01/04/2005,Lakes,Victoria,23.0804019,76.5875993,5.3188745,18.7613789,104.682154,76.5875993,4,,-104.682154,,
01/07/2005,Lakes,Victoria,3.8287794,73.9207706,7.6446769,36.7115317,103.700691,73.9207706,7,,-103.700691,,
01/10/2005,Lakes,Victoria,13.8273268,70.2990637,6.0092929,29.6428019,104.6480817,70.2990637,10,,-104.6480817,,
01/01/2006,Lakes,Victoria,3.623524,136.865947,9.636999,41.693843,96.58770399,136.865947,1,,-96.58770399,,
01/04/2006,Lakes,Victoria,13.167806,96.802805,6.822372,31.729558,92.45702133,96.802805,4,,-92.45702133,,
01/07/2006,Lakes,Victoria,20.079987,71.564144,0,21.995859,94.57466899,71.564144,7,,-94.57466899,,
01/10/2006,Lakes,Victoria,17.615025,65.775209,6.217032,17.928924,91.56681183,65.775209,10,,-91.56681183,,
01/01/2007,Lakes,Victoria,7.969175,153.8841483,3.4389752,30.6305986,93.21246086,153.8841483,1,,-93.21246086,,
01/04/2007,Lakes,Victoria,2.5520125,146.4000609,2.1508424,26.82643,101.9390186,146.4000609,4,,-101.9390186,,
01/07/2007,Lakes,Victoria,15.6645741,44.2773968,1.3713604,19.4696182,98.23359684,44.2773968,7,,-98.23359684,,
01/10/2007,Lakes,Victoria,11.6664011,57.4593954,9.7559101,44.8562492,96.6286383,57.4593954,10,,-96.6286383,,
01/01/2008,Lakes,Victoria,1.855788,183.9275134,2.7609407,37.7318393,102.5113341,183.9275134,1,,-102.5113341,,
01/04/2008,Lakes,Victoria,3.2157404,94.6912157,0,30.2578326,102.2473854,94.6912157,4,,-102.2473854,,
01/07/2008,Lakes,Victoria,24.8308739,67.5721262,0,26.4324636,101.7483832,67.5721262,7,,-101.7483832,,
01/10/2008,Lakes,Victoria,14.7821534,87.0713306,0,17.7252085,104.4103984,87.0713306,10,,-104.4103984,,
01/01/2009,Lakes,Victoria,3.7653153,134.4056883,0,40.7816037,101.9755909,134.4056883,1,,-101.9755909,,
01/04/2009,Lakes,Victoria,7.2239357,99.2384351,1.0799163,23.4599178,96.08038769,99.2384351,4,,-96.08038769,,
01/07/2009,Lakes,Victoria,0.7599032,63.2711374,4.8988194,12.4557497,98.45460526,63.2711374,7,,-98.45460526,,
01/10/2009,Lakes,Victoria,14.5899228,100.743042,0,32.5187283,103.8650611,100.743042,10,,-103.8650611,,
01/01/2010,Lakes,Victoria,20.7511402,145.7412031,6.828584,28.7779659,99.0917723,145.7412031,1,,-99.0917723,,
01/04/2010,Lakes,Victoria,23.573669,111.2728708,1.5273445,30.4487757,101.1644792,111.2728708,4,,-101.1644792,,
01/07/2010,Lakes,Victoria,9.8709301,68.1782419,0,14.8413081,101.2402437,68.1782419,7,,-101.2402437,,
01/10/2010,Lakes,Victoria,13.586348,110.0040394,3.9424352,27.5149908,104.1068323,110.0040394,10,,-104.1068323,,
01/01/2011,Lakes,Victoria,5.1801085,188.3144737,0,38.6736975,110.8454304,188.3144737,1,,-110.8454304,,
